record_id,landslide_id,state,district,location,latitude,longitude,movement_type,history,event_date,road_distance_m,settlement_distance_m,amenity_distance_m,road_density_500m_km_per_km2,settlements_within_1km,amenities_within_1km,near_road_250m,near_settlement_1km,near_amenity_1km
26163,SKM/ES/78A2/2015/169,Sikkim,East Sikkim,Namchi-Namthang Road,27.158972,88.514611,Rock Fall,,,6.451129250439793,2316.2547860085824,2201.86761118053,22.25287040130162,0,0,1,0,0
26164,SKM/NS/78A04/2017/117,Sikkim,West Sikkim,SH,27.158972,88.090944,Debris Slide,,,1.6777085256983209,1086.8650238404286,2089.195098665064,27.65929148534599,0,0,1,0,0
26165,SKM/SS/78A08/2015/309,Sikkim,South Sikkim,Melli-Phong Road,27.159194,88.444361,Debris Slide,,,11.539633600769212,883.0188076608753,3293.4455569104853,34.40405215165807,1,0,1,1,0
26166,SKM/NS/78A04/2017/118,Sikkim,West Sikkim,SH,27.159361,88.09225,Earth Slide,,,1.6661865898165746,1221.0088759638925,2148.0586582717474,27.65929148534599,0,0,1,0,0
26167,SKM/WS/78A08/2015/294,Sikkim,West Sikkim,Namchi-Jorthang Road,27.159472,88.300028,Debris Slide,,,21.353049352839673,2870.7813223859375,741.7315504016692,38.27024859546902,0,2,1,0,1
26168,SKM/WS/78A08/2015/268,Sikkim,West Sikkim,Namchi-Assangthang Road,27.159639,88.318889,Debris Subsidence,,,1.6670030071523632,1086.352701500191,1030.0070503130305,50.82563977088207,0,0,1,0,0
26169,SKM/SS/78A08/2015/234,Sikkim,South Sikkim,Namchi-Palum Road,27.159972,88.379083,Rock Slide,,,7.826122381091761,1535.5779755053409,1304.5995621898246,20.49121984737929,0,0,1,0,0
26170,SKM/SS/78A08/2015/277,Sikkim,South Sikkim,Namchi-Namthang Road,27.160056,88.423028,Debris Slide,,,33.99057503857768,1574.8435280956437,2989.9871098670656,11.963437638875414,0,0,1,0,0
26171,SKM/NS/78A04/2017/132,Sikkim,West Sikkim,SH,27.160056,88.091806,Debris Slide,,,0.9008164643560097,1191.8709765461363,2062.915875877726,36.5935263775649,0,0,1,0,0
26172,SKM/SS/78A08/2015/272,Sikkim,South Sikkim,Namchi-Namthang Road,27.160194,88.415056,Debris Slide,,,8.047118165306694,2320.954813031946,2581.0625225981566,6.898497429384062,0,0,1,0,0
26173,SKM/SS/78A12/2015/170,Sikkim,South Sikkim,Namchi-Namthang Road,27.160444,88.512472,Rock Fall,,,3.527225483781131,2353.3958761201593,2155.7194831023776,21.92945314327192,0,0,1,0,0
26174,SKM/SS/78A12/2015/174,Sikkim,South Sikkim,Namchi-Namthang Road,27.160722,88.505889,Debris Slide,,,0.5575179002776715,2683.107509617283,2149.132750563148,26.659446387411034,0,0,1,0,0
26175,SKM/NS/78A04/2017/133,Sikkim,West Sikkim,SH,27.161,88.094306,Debris Slide,,,4.9058259774557476,1457.2036008943824,2183.7880070398214,36.5935263775649,0,0,1,0,0
26176,SKM/SS/78A12/2015/171,Sikkim,South Sikkim,Namchi-Namthang Road,27.161306,88.512944,Debris Slide,,,7.098624639865128,2255.6630081224653,2049.726544195701,21.92945314327192,0,0,1,0,0
26177,SKM/SS/78A08/2015/274,Sikkim,South Sikkim,Namchi-Namthang Road,27.161444,88.410556,Debris Slide,,,25.78323746329775,2787.8906428401074,2308.335690736302,38.89807415933455,0,0,1,0,0
26178,SKM/SS/78A12/2015/173,Sikkim,South Sikkim,Namchi-Namthang Road,27.161917,88.509639,Debris Slide,,,0.5723288255475117,2476.2995111106684,1990.1733752528426,27.32352565313201,0,0,1,0,0
26179,SKM/SS/78A08/2015/181,Sikkim,South Sikkim,Namchi-Namthang Road,27.162111,88.491444,Rock Fall,,,0.23160292981406413,2763.083119697804,2420.4322491916896,47.13157810105746,0,0,1,0,0
26180,SKM/SS/78A12/2015/172,Sikkim,South Sikkim,Namchi-Namthang Road,27.162194,88.510611,Debris Slide,,,6.840446221268804,2379.4863315363145,1963.4746430994232,27.09469487504453,0,0,1,0,0
26181,SKM/SS/78A08/2015/212,Sikkim,South Sikkim,Namchi-Namthang Road,27.16275,88.383306,Earth Slide,,,11.796988702091465,1832.9389155261465,1252.041889721409,20.0289084921156,0,0,1,0,0
26182,SKM/SS/78A08/2015/275,Sikkim,South Sikkim,Namchi-Namthang Road,27.162778,88.413222,Rock Slide,,,26.718329614658074,2587.201661833842,2247.4235304009158,33.55020542123235,0,0,1,0,0
26183,SKM/SS/78A08/2015/179,Sikkim,South Sikkim,Namchi-Namthang Road,27.162781,88.484864,Debris Slide,,,18.667364547230637,3030.991104877151,2713.7694455928654,42.494738624627345,0,0,1,0,0
26184,SKM/NS/78A04/2017/142,Sikkim,West Sikkim,SH,27.163472,88.143083,Debris Slide,,,2.875473208392364,4178.086185668871,4013.7411706659923,8.125295072110159,0,0,1,0,0
26185,SKM/SS/78A08/2015/282,Sikkim,South Sikkim,Namchi-Namthang Road,27.163556,88.458833,Debris Slide,,,1.4682073089212697,2359.8956224548588,2970.1272967347154,15.90732620724393,0,0,1,0,0
26186,SKM/SS/78A08/2015/214,Sikkim,South Sikkim,Namchi-Namthang Road,27.16375,88.406417,Rock Slide,,,0.0950945929657917,3256.967608208352,1990.4401489677543,41.175852480408466,0,0,1,0,0
26187,SKM/SS/78A08/2015/281,Sikkim,South Sikkim,Namchi-Namthang Road,27.163861,88.462306,Debris Slide,,,17.813220376541587,2686.293616937897,2921.9890542297776,14.274378399375651,0,0,1,0,0
26189,SKM/NS/78A04/2017/141,Sikkim,West Sikkim,SH,27.163861,88.141361,Debris Slide,,,2.102351312908122,4328.316151104868,3963.2759529091904,8.125295072110159,0,0,1,0,0
26190,SKM/NS/78A04/2017/100,Sikkim,West Sikkim,Malbasley SH,27.164472,88.213889,Rock Slide,,,2.3910320435944206,1584.9080659035458,1438.4236830017715,27.93147372816353,0,0,1,0,0
26191,SKM/NS/78A04/2017/96,Sikkim,West Sikkim,SH,27.1645,88.228444,Rock Slide,,,2.9190023014327653,2929.3703989133064,485.15185322824817,29.31545916992997,0,1,1,0,1
26192,SKM/SS/78A08/2015/396,Sikkim,South Sikkim,Sikkip-Wak-Namchi Road,27.164528,88.348472,Debris Slide,,,62.906926101247656,1666.8498333696773,701.9416759573156,33.66261521945138,0,3,1,0,1
26193,SKM/SS/78A08/2015/308,Sikkim,South Sikkim,Melli-Phong Road,27.165,88.444444,Debris Slide,,,4.821150936871388,1387.705430453162,3775.753566462515,32.95139214729645,0,0,1,0,0
26194,SKM/SS/78A08/2015/395,Sikkim,South Sikkim,Sikkip-Wak-Namchi Road,27.165278,88.348528,Debris Slide,,,4.95013920571259,1654.5352119373142,740.3109122487376,33.955673440457154,0,4,1,0,1
26195,SKM/NS/78A04/2017/112,Sikkim,West Sikkim,SH,27.165333,88.162028,Debris Slide,,,5.287650457190021,3377.4317300204293,3683.983140420038,24.73473462878204,0,0,1,0,0
26196,SKM/SS/78A08/2015/180,Sikkim,South Sikkim,Namchi-Namthang Road,27.165528,88.496556,Debris Slide,,,555.4586365510391,2229.2629246233373,1869.5939403619238,0.0,0,0,0,0,0
26197,SKM/SS/78A08/2015/178,Sikkim,South Sikkim,Namchi-Namthang Road,27.165586,88.488511,Debris Slide,,,6.707239109250423,2568.6161975795603,2247.8900307112854,53.60995667593637,0,0,1,0,0
26198,SKM/SS/78A08/2015/183,Sikkim,South Sikkim,Namchi-Namthang Road,27.165833,88.436667,Debris Slide,,,20.78433135916902,1298.421697640845,3598.744207904405,5.602259609355649,0,0,1,0,0
26199,SKM/NS/78A04/2017/143,Sikkim,West Sikkim,SH,27.166278,88.144333,Debris Slide,,,1.0893825706556481,4327.377034928032,4343.354400922283,8.125295072110159,0,0,1,0,0
26200,SKM/SS/78A08/2015/213,Sikkim,South Sikkim,Namchi-Namthang Road,27.166528,88.401333,Debris Slide,,,11.145160872048608,3580.9482223672417,1715.3799985434562,21.148298034304702,0,0,1,0,0
26201,SKM/SS/78A08/2015/304,Sikkim,South Sikkim,Perbing-Chuba Road,27.166611,88.417528,Debris Slide,,,20.690014350284716,2412.0197182268475,2081.99652364795,28.822855047159116,0,0,1,0,0
26202,SKM/SS/78A08/2015/394,Sikkim,South Sikkim,Sikkip-Wak-Namchi Road,27.167611,88.348889,Debris Slide,,,10.049915046997208,1624.4260654293444,887.2289672528613,19.38885537535067,0,4,1,0,1
26203,SKM/NS/78A04/2017/99,Sikkim,West Sikkim,SH,27.167972,88.224778,Rock Slide,,,189.38437514686296,2526.240928370607,906.3525995825572,17.20582369120432,0,1,1,0,1
26204,SKM/SS/78A08/2015/211,Sikkim,South Sikkim,Namchi-Namthang Road,27.168167,88.384556,Debris Slide,,,4.367237535239706,1931.4681259687568,1006.4942143872792,34.49645403346198,0,0,1,0,0
26205,SKM/SS/78A08/2015/302,Sikkim,South Sikkim,,27.169028,88.486333,Debris Slide,,,3.5525887918705887,2405.4432151037217,2103.489544342521,35.324981545969145,0,0,1,0,0
26206,SKM/SS/78A08/2015/198,Sikkim,South Sikkim,Namchi-Damthang Road,27.169472,88.363778,Debris Slide,,,3.32177059696506,396.4821796048294,313.5468163544271,39.04091046951411,1,21,1,1,1
26207,SKM/SS/78A08/2015/280,Sikkim,South Sikkim,Namchi-Namthang Road,27.169583,88.462361,Debris Slide,,,10.795768504835939,3001.7845990739243,3546.79300721066,11.479246437987062,0,0,1,0,0
26208,SKM/NS/78A04/2017/135,Sikkim,West Sikkim,Bhoreng SH,27.170833,88.086361,Earth Slide,,,2.5749607230419342,1581.3692826616877,979.8407896772222,18.065649546167652,0,1,1,0,1
26209,SKM/NS/78A04/2017/95,Sikkim,West Sikkim,SH,27.171083,88.245417,Debris Slide,,,1.8028834402881786,2434.2773284413324,2139.2662074521268,22.700010001205126,0,0,1,0,0
26210,SKM/SS/78A08/2015/393,Sikkim,South Sikkim,Sikkip-Wak-Namchi Road,27.171139,88.354611,Debris Slide,,,11.708783257943725,1186.9929921033477,610.1391347243123,28.062958289865367,0,11,1,0,1
26211,SKM/NS/78A04/2017/110,Sikkim,West Sikkim,SH,27.171639,88.159333,Debris Slide,,,1.915469772697375,3977.1014207202447,3899.960076206888,19.72971166701248,0,0,1,0,0
26212,SKM/NS/78A04/2017/111,Sikkim,West Sikkim,SH,27.171833,88.160861,Debris Slide,,,0.09238360702470513,3826.44461939666,3749.1336912301604,22.0756499042019,0,0,1,0,0
26213,SKM/NS/78A04/2017/137,Sikkim,West Sikkim,SH,27.172083,88.090333,Earth Slide,,,5.169093055271616,1888.9685316634827,1348.927382658418,18.772709718962226,0,0,1,0,0
