cell_id,label,elevation_m,slope_deg,elevation_std_m,slope_score,ruggedness_score,elevation_score,terrain_instability_score,terrain_instability_category
3_1656,0,4376.0,10.724231719970703,4.597369194030762,14.098613251155623,13.405238828967642,77.65793528505392,27.75423728813559,MODERATE
4_988,0,4950.0,35.91403579711914,32.235103607177734,77.73497688751925,97.68875192604007,87.67334360554699,85.32742681047765,EXTREME
5_1571,0,4778.0,20.91554832458496,9.202791213989258,28.6979969183359,27.349768875192602,83.93682588597842,40.21186440677966,MODERATE
10_680,0,2343.0,52.60748291015625,33.377010345458984,98.84437596302003,97.99691833590138,62.17257318952234,93.1895223420647,EXTREME
12_491,0,2666.0,21.879323959350582,9.635326385498049,30.893682588597844,29.66101694915254,65.2542372881356,39.19491525423729,MODERATE
13_1255,0,5413.0,33.99567413330078,15.637877464294434,71.26348228043143,66.17873651771957,94.83821263482281,74.9653312788906,HIGH
15_652,0,1600.0,36.59194946289063,18.1597843170166,79.6995377503852,79.96918335901387,44.41448382126348,75.48921417565485,EXTREME
15_1456,0,5109.0,10.597708702087402,4.570436477661133,13.944530046224962,13.212634822804315,91.21725731895224,29.655238828967644,MODERATE
16_317,0,2950.0,12.974687576293944,6.026689529418945,16.563944530046225,16.79506933744222,67.10323574730354,28.37442218798151,MODERATE
17_355,0,2721.0,45.81885147094727,23.90619468688965,95.3004622496148,93.37442218798151,66.06317411402158,90.66833590138675,EXTREME
20_1290,0,5332.0,33.64849090576172,16.88815689086914,69.91525423728814,73.6517719568567,94.26040061633282,76.00539291217258,EXTREME
20_1453,0,4975.0,3.876335859298706,1.9436506032943728,5.007704160246533,5.6625577812018495,88.17411402157165,22.395993836671803,LOW
23_244,0,2099.0,13.536701202392578,5.981452941894531,17.295839753466872,16.718027734976886,59.78428351309707,27.659861325115564,MODERATE
27_1200,0,5434.0,25.37534141540528,35.3162841796875,39.791987673343606,98.38212634822804,95.14637904468412,65.75308166409862,HIGH
29_729,0,1869.0,33.82723617553711,17.126977920532227,70.64714946070877,74.49922958397535,54.930662557781204,70.72033898305085,HIGH
31_874,0,3754.0,18.73767471313477,8.46926212310791,24.46070878274268,24.345146379044685,72.34206471494608,35.39098613251156,MODERATE
31_1025,0,5151.0,9.614384651184082,4.175176620483398,12.673343605546997,12.01848998459168,91.83359013867488,28.75,MODERATE
32_1418,0,5801.0,26.810009002685547,12.600215911865234,45.261941448382125,45.76271186440678,97.30354391371341,55.93027734976887,HIGH
33_13,0,403.0,29.60394096374512,12.95099925994873,55.81664098613251,47.68875192604006,5.624036979969183,48.46494607087828,MODERATE
33_708,0,2977.0,34.020790100097656,16.865480422973633,71.57164869029276,73.57473035439138,67.33436055469953,72.85824345146379,HIGH
39_194,0,1574.0,9.614384651184082,4.499657154083252,12.673343605546997,13.020030816640988,42.06471494607088,21.535053929121727,LOW
40_15,0,392.0,23.406394958496094,10.13001823425293,34.47611710323575,31.51001540832049,5.238828967642527,32.625192604006166,MODERATE
41_966,0,3881.0,38.31543731689453,19.81371688842773,83.89830508474576,84.82280431432973,73.80585516178738,83.42064714946072,EXTREME
44_642,0,1585.0,24.988758087158203,10.629565238952637,38.674884437596305,34.20647149460709,43.41294298921417,41.33474576271187,MODERATE
44_777,0,3463.0,44.49834060668945,20.48847961425781,94.22187981510015,86.97996918335902,70.57010785824345,89.15254237288136,EXTREME
44_843,0,4407.0,29.025177001953125,12.062337875366213,54.00616332819723,43.451463790446844,78.23574730354392,57.30161787365178,HIGH
44_1523,0,4416.0,0.9704723954200744,0.6849349141120911,0.6933744221879815,0.9630200308166409,78.5824345146379,17.40947611710323,LOW
47_1039,0,5124.0,7.952031135559082,3.0594115257263184,10.708782742681047,8.705701078582434,91.40986132511556,26.77773497688752,MODERATE
51_586,0,3022.0,48.66741180419922,39.660911560058594,97.30354391371341,98.9984591679507,67.71956856702619,93.42449922958397,EXTREME
51_1520,0,4428.0,1.9403883218765257,0.916245698928833,2.0030816640986133,1.9260400616332818,78.8135593220339,18.405238828967644,LOW
52_235,0,1826.0,21.45036697387696,9.03627872467041,29.892141756548536,26.57935285053929,53.77503852080123,36.151771956856706,MODERATE
53_566,0,2572.0,13.27562141418457,5.933790683746338,16.87211093990755,16.563944530046225,64.17565485362096,28.046995377503855,MODERATE
53_801,0,3772.0,34.652565002441406,16.815629959106445,73.92141756548536,73.34360554699538,72.41910631741139,74.8555469953775,HIGH
59_1544,0,4397.0,2.169212579727173,0.916245698928833,2.7349768875192604,1.9260400616332818,78.12018489984591,18.7037750385208,LOW
61_1203,0,6076.0,21.00910186767578,9.46468448638916,29.044684129429893,28.62095531587057,98.38212634822804,42.88713405238829,MODERATE
62_218,0,1455.0,32.99371337890625,15.725264549255373,67.2573189522342,66.71802773497689,35.67026194144838,64.0215716486903,HIGH
62_993,0,3699.0,7.351002693176269,3.9440531730651855,9.745762711864407,11.171032357473036,71.9568567026194,23.946456086286595,LOW
62_1076,0,5002.0,17.274070739746094,6.646265029907227,21.49460708782743,18.104776579352848,89.06009244992296,34.707241910631744,MODERATE
67_1132,0,5475.0,10.029293060302734,4.4081854820251465,13.289676425269645,12.788906009244993,95.37750385208012,29.81317411402157,MODERATE
69_27,0,1113.0,18.650480270385746,7.733205318450928,24.22958397534669,21.49460708782743,21.53312788906009,26.92989214175655,MODERATE
70_593,0,2955.0,16.300086975097656,7.350149154663086,19.915254237288135,20.03081664098613,67.2573189522342,31.04969183359014,MODERATE
80_1256,0,6223.0,53.72871780395508,33.212371826171875,99.15254237288136,97.91987673343606,98.7673343605547,98.82896764252698,EXTREME
83_532,0,2095.0,32.385841369628906,15.84648609161377,64.90755007704159,67.29583975346686,59.66872110939908,66.47342064714945,HIGH
84_1435,0,4667.0,0.9704723954200744,0.8164966106414795,0.6933744221879815,1.3482280431432974,81.70261941448382,17.973805855161785,LOW
85_1002,0,5031.0,46.57422256469727,27.184555053710938,96.0708782742681,95.99383667180277,90.06163328197226,95.34668721109398,EXTREME
87_1024,0,4334.0,49.31068420410156,28.394052505493164,97.7657935285054,96.37904468412944,77.15716486902927,94.43952234206473,EXTREME
92_891,0,5138.0,27.717409133911133,11.79244327545166,48.80585516178736,41.52542372881356,91.75654853620955,55.988058551617875,HIGH
93_93,0,1232.0,32.22797393798828,14.392212867736816,64.29121725731896,57.81972265023112,26.078582434514637,58.72688751926041,HIGH
93_428,0,2680.0,18.024797439575195,9.741092681884766,22.88135593220339,29.9306625577812,65.48536209553158,34.89021571648691,MODERATE
94_580,0,2001.0,29.383731842041016,14.476886749267578,55.3929121725732,58.24345146379045,57.473035439137135,58.64791987673344,HIGH
96_631,0,2909.0,41.16909790039063,20.928449630737305,89.59938366718028,88.13559322033898,67.02619414483821,86.36748844375963,EXTREME
97_1012,0,4407.0,14.821044921875,6.218252658843994,18.489984591679505,17.4884437596302,78.23574730354392,31.276964560862865,MODERATE
101_401,0,2652.0,31.61968231201172,15.993053436279297,62.750385208012325,68.25885978428352,65.06163328197226,66.33667180277351,HIGH
102_554,0,2222.0,34.095909118652344,16.14134979248047,71.80277349768875,69.33744221879815,60.86286594761171,70.9553158705701,HIGH
102_1442,0,4764.0,7.030324935913086,3.3035707473754883,9.476117103235747,9.322033898305085,83.35901386748844,25.046224961479197,MODERATE
104_1297,0,5265.0,20.971752166748047,9.46468448638916,28.890600924499232,28.62095531587057,93.45146379044684,42.062788906009246,MODERATE
105_74,0,1484.0,22.41640281677246,11.053182601928713,31.856702619414484,36.90292758089369,37.249614791987675,37.33436055469954,MODERATE
107_1391,0,5274.0,8.235328674316406,3.265986442565918,10.901386748844375,9.052388289676424,93.52850539291218,27.28813559322034,MODERATE
110_97,0,1109.0,10.72423267364502,5.333333492279053,14.21417565485362,14.946070878274268,21.340523882896765,19.755392912172574,LOW
110_951,0,5248.0,22.19342422485352,10.321976661682127,31.432973805855163,32.5115562403698,93.14329738058552,44.387519260400616,MODERATE
111_1425,0,4982.0,23.97199821472168,11.096657752990724,35.824345146379045,37.442218798151,88.4437596302003,47.33050847457628,MODERATE
112_1345,0,6215.0,58.49972534179688,58.11037826538086,99.84591679506933,99.46070878274269,98.61325115562404,99.57241910631743,EXTREME
114_1106,0,5332.0,34.87635803222656,16.642946243286133,74.57627118644068,72.34206471494608,94.26040061633282,78.24152542372882,EXTREME
118_1383,0,5697.0,41.48539352416992,21.008522033691406,89.98459167950693,88.52080123266563,96.84129429892143,91.14791987673344,EXTREME
122_433,0,3351.0,13.471976280212402,5.557777404785156,17.14175654853621,15.408320493066254,69.9537750385208,28.7731124807396,MODERATE
125_958,0,5229.0,28.331172943115234,20.94112205505371,51.232665639445294,88.28967642526965,92.91217257318952,69.18721109399075,HIGH
126_1544,0,4369.0,0.9704723954200744,0.566557765007019,0.6933744221879815,0.2696456086286595,77.42681047765794,17.062788906009246,LOW
130_1126,0,5314.0,52.71131134033203,31.60090446472168,98.92141756548536,97.45762711864407,93.91371340523882,97.85824345146379,EXTREME
132_516,0,3017.0,36.65605926513672,17.9119930267334,80.08474576271186,78.73651771956857,67.64252696456087,78.87711864406779,EXTREME
134_1295,0,5748.0,39.07185745239258,21.12981605529785,85.97842835130972,88.9060092449923,97.07241910631741,89.07550077041604,EXTREME
138_675,0,3653.0,40.11621856689453,19.756542205810547,87.98151001540832,84.66872110939909,71.57164869029276,85.29275808936828,EXTREME
140_27,0,655.0,32.41354751586914,14.843213081359863,65.17719568567027,60.708782742681045,11.787365177195685,57.79275808936826,HIGH
141_1564,0,4372.0,3.495080947875977,1.369869828224182,4.6995377503852085,4.23728813559322,77.58089368258861,20.28120184899846,LOW
142_942,0,5707.0,24.637191772460938,8.55212688446045,37.942989214175654,24.80739599383667,96.9568567026194,46.61402157164869,MODERATE
149_687,0,3819.0,9.12953281402588,4.966554641723633,12.211093990755009,13.86748844375963,73.22804314329738,26.16718027734977,MODERATE
150_686,0,3892.0,35.002872467041016,17.416467666625977,74.80739599383666,76.73343605546995,74.03697996918336,76.43297380585516,EXTREME
