scenario,rainfall_change_percent,rain_24h_mm,rain_72h_mm,rain_7d_mm,rain_24h_percentile,rain_72h_percentile,rain_7d_percentile,rainfall_trigger_score,trigger_category,trigger_score_change_from_baseline
BASELINE,0.0,5.673038773238659,33.39506559818983,44.09099395945668,0.1448165869218501,0.279939748360801,0.05440368598263335,16.95064681906787,LOW,0.0
RAINFALL_PLUS_25_PERCENT,25.0,7.091298466548324,41.74383199773729,55.11374244932085,0.18968190678716995,0.38332004253056884,0.09341662236399079,23.33889331915648,LOW,6.388246500088609
RAINFALL_PLUS_50_PERCENT,50.0,8.509558159857988,50.092598397284746,66.13649093918502,0.2394293815346447,0.4765062909799752,0.1467216019847599,29.922935495303914,MODERATE,12.972288676236044
RAINFALL_PLUS_100_PERCENT,100.0,11.346077546477318,66.79013119637966,88.18198791891336,0.34230462519936206,0.6377547403863193,0.28141502746765906,43.04897660818713,MODERATE,26.098329789119262
