cell_id,scenario,rainfall_change_percent,risk_score,baseline_risk_score,risk_score_change,risk_category,rainfall_trigger_score,susceptibility_probability,exposure_score,baseline_category,category_change,escalates
3_1656,BASELINE,0.0,6.983213461421144,6.983213461421144,0.0,LOW,16.95064681906787,0.010009893603217855,11.840426961964926,LOW,0,0
4_988,BASELINE,0.0,7.803407246863594,7.803407246863594,0.0,LOW,16.95064681906787,0.01695086948509603,16.22482808135644,LOW,0,0
5_1571,BASELINE,0.0,8.553053884597087,8.553053884597087,0.0,LOW,16.95064681906787,0.014170283213607467,25.250616908010066,LOW,0,0
10_680,BASELINE,0.0,8.8928537724846,8.8928537724846,0.0,LOW,16.95064681906787,0.028521037330115004,20.755701022806043,LOW,0,0
12_491,BASELINE,0.0,7.260659880568964,7.260659880568964,0.0,LOW,16.95064681906787,0.0007432595523372276,19.711539881427463,LOW,0,0
13_1255,BASELINE,0.0,6.021376747315074,6.021376747315074,0.0,LOW,16.95064681906787,0.001271798365122616,7.028012201856597,LOW,0,0
15_652,BASELINE,0.0,25.658654184098417,25.658654184098417,0.0,MODERATE,16.95064681906787,0.2646531801531802,58.54102658625838,MODERATE,0,0
15_1456,BASELINE,0.0,6.658712049971395,6.658712049971395,0.0,LOW,16.95064681906787,0.005293226936551187,11.1895795141341,LOW,0,0
16_317,BASELINE,0.0,9.594691018474375,9.594691018474375,0.0,LOW,16.95064681906787,0.02200093001778368,31.36013250448603,LOW,0,0
17_355,BASELINE,0.0,16.225748021276203,16.225748021276203,0.0,LOW,16.95064681906787,0.12125802139037431,43.07930227757947,LOW,0,0
20_1290,BASELINE,0.0,6.202952868618606,6.202952868618606,0.0,LOW,16.95064681906787,2.1798365122615804e-05,9.53127341489193,LOW,0,0
20_1453,BASELINE,0.0,6.567329410569526,6.567329410569526,0.0,LOW,16.95064681906787,0.0030122024055266564,11.530316612178892,LOW,0,0
23_244,BASELINE,0.0,19.888856044519116,19.888856044519116,0.0,LOW,16.95064681906787,0.15265384060384068,62.442681942602064,LOW,0,0
27_1200,BASELINE,0.0,6.357853457730437,6.357853457730437,0.0,LOW,16.95064681906787,0.009902353920678173,5.645973750454671,LOW,0,0
29_729,BASELINE,0.0,10.339148523893527,10.339148523893527,0.0,LOW,16.95064681906787,0.021154835149163456,39.27005973641868,LOW,0,0
31_874,BASELINE,0.0,8.716427133002103,8.716427133002103,0.0,LOW,16.95064681906787,0.019150136366990034,24.145430157699817,LOW,0,0
31_1025,BASELINE,0.0,6.87814071948617,6.87814071948617,0.0,LOW,16.95064681906787,0.002457848943546076,14.943324105434662,LOW,0,0
32_1418,BASELINE,0.0,6.28772571878,6.28772571878,0.0,LOW,16.95064681906787,6.220240552665621e-05,10.356779694283638,LOW,0,0
33_13,BASELINE,0.0,34.22150436078686,34.22150436078686,0.0,MODERATE,16.95064681906787,0.42607817259645286,55.3857825093428,MODERATE,0,0
33_708,BASELINE,0.0,7.834327914376811,7.834327914376811,0.0,LOW,16.95064681906787,0.002305535738859989,24.58896831691842,LOW,0,0
39_194,BASELINE,0.0,18.060659905208745,18.060659905208745,0.0,LOW,16.95064681906787,0.13008316128316136,56.574594175871994,LOW,0,0
40_15,BASELINE,0.0,15.361519438998823,15.361519438998823,0.0,LOW,16.95064681906787,0.09287720998807955,50.04646272606777,LOW,0,0
41_966,BASELINE,0.0,11.959818057561776,11.959818057561776,0.0,LOW,16.95064681906787,0.0448966596305199,42.418751608355116,LOW,0,0
44_642,BASELINE,0.0,12.641332045752296,12.641332045752296,0.0,LOW,16.95064681906787,0.041961585799910044,50.84818209709573,LOW,0,0
44_777,BASELINE,0.0,8.279033812788654,8.279033812788654,0.0,LOW,16.95064681906787,0.015493630976955228,21.782574920084475,LOW,0,0
44_843,BASELINE,0.0,8.383998944291571,8.383998944291571,0.0,LOW,16.95064681906787,0.002386849295926971,30.040956159679183,LOW,0,0
44_1523,BASELINE,0.0,16.7735833645178,16.7735833645178,0.0,LOW,16.95064681906787,0.09867409812409811,60.97881350644736,LOW,0,0
47_1039,BASELINE,0.0,7.547562754582336,7.547562754582336,0.0,LOW,16.95064681906787,7.659288567056101e-05,22.94723528822786,LOW,0,0
51_586,BASELINE,0.0,7.854941331366061,7.854941331366061,0.0,LOW,16.95064681906787,0.006375402409480087,22.556675817969865,LOW,0,0
51_1520,BASELINE,0.0,10.680420023406677,10.680420023406677,0.0,LOW,16.95064681906787,0.014060125738232598,46.58486490756214,LOW,0,0
52_235,BASELINE,0.0,28.82738447883811,28.82738447883811,0.0,MODERATE,16.95064681906787,0.3170483753834817,61.41097215698944,MODERATE,0,0
53_566,BASELINE,0.0,31.08006668845885,31.08006668845885,0.0,MODERATE,16.95064681906787,0.35867724022354464,61.041918591162236,MODERATE,0,0
