cell_id,susceptibility_probability,model_margin,model_certainty,terrain_quality,osm_quality,confidence_score,uncertainty_score,confidence_category,confidence_explanation
3_1656,0.0100098936032178,0.4399901063967822,79.9982011630513,100.0,100.0,82.36207366889643,17.63792633110357,HIGH,SAR is not spatially georeferenced
4_988,0.016950869485096,0.433049130514904,78.73620554816436,70.0,100.0,75.7941756421973,24.205824357802697,MODERATE,terrain fallback sampling used; SAR is not spatially georeferenced
5_1571,0.0141702832136074,0.4358297167863926,79.241766688435,100.0,100.0,82.0216781553191,17.978321844680906,HIGH,SAR is not spatially georeferenced
10_680,0.028521037330115,0.421478962669885,76.63253866725182,100.0,100.0,80.84752554578665,19.152474454213348,HIGH,SAR is not spatially georeferenced
12_491,0.0007432595523372,0.4492567404476628,81.68304371775686,100.0,100.0,83.12025281851393,16.879747181486067,HIGH,SAR is not spatially georeferenced
13_1255,0.0012717983651226,0.4487282016348774,81.5869457517959,100.0,100.0,83.07700873383149,16.92299126616851,HIGH,SAR is not spatially georeferenced
15_652,0.2646531801531802,0.18534681984681983,33.699421790330874,100.0,100.0,61.52762295117223,38.47237704882777,MODERATE,prediction near decision threshold; SAR is not spatially georeferenced
15_1456,0.0052932269365511,0.4447067730634489,80.85577692062706,100.0,100.0,82.74798275980552,17.252017240194476,HIGH,SAR is not spatially georeferenced
16_317,0.0220009300177836,0.42799906998221643,77.81801272403935,100.0,100.0,81.38098887134105,18.619011128658954,HIGH,SAR is not spatially georeferenced
17_355,0.1212580213903743,0.32874197860962573,59.77126883811377,100.0,100.0,73.25995412267454,26.740045877325457,MODERATE,SAR is not spatially georeferenced
20_1290,2.1798365122615804e-05,0.4499782016348774,81.81421847906861,100.0,100.0,83.17928146110421,16.82071853889579,HIGH,SAR is not spatially georeferenced
20_1453,0.0030122024055266,0.44698779759447343,81.27050865354062,100.0,100.0,82.93461203961661,17.06538796038339,HIGH,SAR is not spatially georeferenced
23_244,0.1526538406038406,0.2973461593961594,54.06293807202898,100.0,100.0,70.69120527793638,29.308794722063624,MODERATE,SAR is not spatially georeferenced
27_1200,0.0099023539206781,0.4400976460793219,80.01775383260397,70.0,100.0,76.37087237019513,23.62912762980487,MODERATE,terrain fallback sampling used; SAR is not spatially georeferenced
29_729,0.0211548351491634,0.4288451648508366,77.97184815469757,100.0,100.0,81.45021481513726,18.549785184862742,HIGH,SAR is not spatially georeferenced
31_874,0.01915013636699,0.43084986363301003,78.33633884236545,100.0,100.0,81.61423562458779,18.385764375412208,HIGH,SAR is not spatially georeferenced
31_1025,0.002457848943546,0.447542151056454,81.37130019208254,100.0,100.0,82.97996823196048,17.020031768039516,HIGH,SAR is not spatially georeferenced
32_1418,6.220240552665621e-05,0.44993779759447333,81.80687228990423,100.0,100.0,83.17597567598025,16.824024324019746,HIGH,SAR is not spatially georeferenced
33_13,0.4260781725964528,0.023921827403547202,4.349423164281309,100.0,100.0,48.32012356944993,51.67987643055007,LOW,prediction near decision threshold; SAR is not spatially georeferenced
33_708,0.0023055357388599,0.4476944642611401,81.39899350202548,100.0,100.0,82.9924302214348,17.0075697785652,HIGH,SAR is not spatially georeferenced
39_194,0.1300831612831613,0.31991683871683874,58.16669794851613,100.0,100.0,72.5378972223556,27.462102777644404,MODERATE,SAR is not spatially georeferenced
40_15,0.0928772099880795,0.3571227900119205,64.93141636580371,100.0,100.0,75.58202051013501,24.41797948986499,MODERATE,SAR is not spatially georeferenced
41_966,0.0448966596305199,0.4051033403694801,73.65515279445091,70.0,100.0,73.50770190302626,26.49229809697374,MODERATE,terrain fallback sampling used; SAR is not spatially georeferenced
44_642,0.04196158579991,0.40803841420009,74.18880258183455,100.0,100.0,79.74784430734888,20.252155692651115,MODERATE,SAR is not spatially georeferenced
44_777,0.0154936309769552,0.4345063690230448,79.00115800418995,100.0,100.0,81.91340424740882,18.08659575259118,HIGH,SAR is not spatially georeferenced
44_843,0.0023868492959269,0.4476131507040731,81.38420921892238,100.0,100.0,82.98577729403841,17.014222705961586,HIGH,SAR is not spatially georeferenced
44_1523,0.0986740981240981,0.3513259018759019,63.87743670470943,100.0,100.0,75.10772966264258,24.892270337357417,MODERATE,SAR is not spatially georeferenced
47_1039,7.659288567056101e-05,0.44992340711432943,81.80425583896897,70.0,100.0,77.17479827305938,22.82520172694062,MODERATE,terrain fallback sampling used; SAR is not spatially georeferenced
51_586,0.00637540240948,0.44362459759052003,80.65901774373091,70.0,100.0,76.65944113020225,23.340558869797746,MODERATE,terrain fallback sampling used; SAR is not spatially georeferenced
51_1520,0.0140601257382325,0.4359398742617675,79.26179532032135,100.0,100.0,82.03069103966794,17.969308960332057,HIGH,SAR is not spatially georeferenced
52_235,0.3170483753834816,0.13295162461651844,24.173022657548803,100.0,100.0,57.2407433414203,42.7592566585797,LOW,prediction near decision threshold; SAR is not spatially georeferenced
53_566,0.3586772402235446,0.09132275977645543,16.604138141173713,100.0,100.0,53.83474530905151,46.16525469094849,LOW,prediction near decision threshold; SAR is not spatially georeferenced
53_801,0.0006665180522151,0.4493334819477849,81.69699671777906,100.0,100.0,83.12653166852391,16.87346833147609,HIGH,SAR is not spatially georeferenced
59_1544,0.0123489023345994,0.4376510976654006,79.57292684825465,100.0,100.0,82.17070022723794,17.829299772762056,HIGH,SAR is not spatially georeferenced
61_1203,6.220240552665621e-05,0.44993779759447333,81.80687228990423,100.0,100.0,83.17597567598025,16.824024324019746,HIGH,SAR is not spatially georeferenced
62_218,0.7532799020424019,0.3032799020424019,55.141800371345795,100.0,100.0,71.17669331262896,28.823306687371044,MODERATE,SAR is not spatially georeferenced
62_993,0.126005266955267,0.32399473304473303,58.90813328086054,100.0,100.0,72.87154312191058,27.128456878089423,MODERATE,SAR is not spatially georeferenced
62_1076,0.0058813547904324,0.4441186452095676,80.74884458355774,100.0,100.0,82.69986320812433,17.300136791875673,HIGH,SAR is not spatially georeferenced
67_1132,2.1798365122615804e-05,0.4499782016348774,81.81421847906861,100.0,100.0,83.17928146110421,16.82071853889579,HIGH,SAR is not spatially georeferenced
69_27,0.4316771766880461,0.018322823311953895,3.331422420355253,100.0,100.0,47.86202323468321,52.13797676531679,LOW,prediction near decision threshold; SAR is not spatially georeferenced
70_593,0.0077376713809956,0.4422623286190044,80.41133247618261,100.0,100.0,82.5479827598055,17.452017240194493,HIGH,SAR is not spatially georeferenced
80_1256,0.0018538690721933,0.4481461309278067,81.48111471414666,100.0,100.0,83.02938476688934,16.970615233110664,HIGH,SAR is not spatially georeferenced
83_532,0.0999959750054757,0.3500040249945243,63.637095453549875,100.0,100.0,74.99957609962078,25.000423900379218,MODERATE,SAR is not spatially georeferenced
84_1435,0.0279374458874458,0.4220625541125542,76.73864620228258,100.0,100.0,80.8952739365505,19.104726063449505,HIGH,SAR is not spatially georeferenced
85_1002,0.020893154786479,0.429106845213521,78.01942640245836,100.0,100.0,81.4716250266296,18.528374973370404,HIGH,SAR is not spatially georeferenced
87_1024,0.1951306794654621,0.2548693205345379,46.339876460825074,100.0,100.0,67.21582755289462,32.78417244710538,MODERATE,SAR is not spatially georeferenced
