cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
223_498,1,0.9461307780371888,VERY_HIGH,1,0.45,RandomForest
223_591,0,0.011548021457099131,LOW,0,0.45,RandomForest
224_1401,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
225_41,0,0.15550206688736098,LOW,0,0.45,RandomForest
225_934,0,0.001021798365122616,LOW,0,0.45,RandomForest
226_699,0,7.659288567056101e-05,LOW,0,0.45,RandomForest
227_1644,0,0.011013140356464609,LOW,0,0.45,RandomForest
228_721,0,0.0011443894958400526,LOW,0,0.45,RandomForest
231_1310,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
234_382,1,0.9387124098124099,VERY_HIGH,1,0.45,RandomForest
236_1344,0,0.0008789412222654729,LOW,0,0.45,RandomForest
237_46,0,0.04199396071887981,LOW,0,0.45,RandomForest
240_1004,0,0.0019733135166377673,LOW,0,0.45,RandomForest
243_522,1,0.932701219598091,VERY_HIGH,1,0.45,RandomForest
244_467,0,0.0008217983651226158,LOW,0,0.45,RandomForest
244_1007,0,0.0030983135166377674,LOW,0,0.45,RandomForest
244_1230,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
245_766,0,0.12135202020202025,LOW,0,0.45,RandomForest
246_43,0,0.07344607777843074,LOW,0,0.45,RandomForest
246_358,1,0.9733938285091674,VERY_HIGH,1,0.45,RandomForest
246_1003,0,0.0031733135166377665,LOW,0,0.45,RandomForest
247_358,1,0.996582622139765,VERY_HIGH,1,0.45,RandomForest
247_361,1,0.9612636739737804,VERY_HIGH,1,0.45,RandomForest
247_523,1,0.9877476190476191,VERY_HIGH,1,0.45,RandomForest
248_366,1,0.9815365079365079,VERY_HIGH,1,0.45,RandomForest
248_398,1,0.9888934704184702,VERY_HIGH,1,0.45,RandomForest
248_404,1,0.896082554602955,VERY_HIGH,1,0.45,RandomForest
249_358,1,0.9840799603174603,VERY_HIGH,1,0.45,RandomForest
250_362,1,0.9595857426303852,VERY_HIGH,1,0.45,RandomForest
250_404,1,0.9541158966033967,VERY_HIGH,1,0.45,RandomForest
250_522,1,0.993112925170068,VERY_HIGH,1,0.45,RandomForest
250_1510,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
251_407,1,0.9608540239953283,VERY_HIGH,1,0.45,RandomForest
251_505,1,0.9215285226705202,VERY_HIGH,1,0.45,RandomForest
251_510,1,0.9169410245364703,VERY_HIGH,1,0.45,RandomForest
252_358,1,0.9877928571428571,VERY_HIGH,1,0.45,RandomForest
252_509,1,0.9532034547152192,VERY_HIGH,1,0.45,RandomForest
252_875,0,0.0017432595523372276,LOW,0,0.45,RandomForest
254_507,1,0.9669332571571061,VERY_HIGH,1,0.45,RandomForest
256_365,1,0.9961,VERY_HIGH,1,0.45,RandomForest
256_1265,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
258_206,0,0.09441808191808193,LOW,0,0.45,RandomForest
258_678,0,0.0007288690721933229,LOW,0,0.45,RandomForest
258_1217,0,0.0013955357388599895,LOW,0,0.45,RandomForest
260_357,1,0.9772920230877203,VERY_HIGH,1,0.45,RandomForest
260_358,1,0.9519036811887875,VERY_HIGH,1,0.45,RandomForest
262_507,1,0.9847492346938778,VERY_HIGH,1,0.45,RandomForest
262_1643,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
263_1026,0,0.0010622024055266562,LOW,0,0.45,RandomForest
264_864,0,0.005243259552337227,LOW,0,0.45,RandomForest
264_1413,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
266_413,1,0.9517215449675213,VERY_HIGH,1,0.45,RandomForest
266_545,0,0.023876488119812377,LOW,0,0.45,RandomForest
267_413,1,0.9645329430982823,VERY_HIGH,1,0.45,RandomForest
267_576,1,0.0599114430682456,LOW,0,0.45,RandomForest
268_406,1,0.9199433507479473,VERY_HIGH,1,0.45,RandomForest
270_329,0,0.1212406462250452,LOW,0,0.45,RandomForest
271_508,1,0.9948079365079364,VERY_HIGH,1,0.45,RandomForest
272_1254,0,0.004409893603217854,LOW,0,0.45,RandomForest
273_523,1,0.9599417564347799,VERY_HIGH,1,0.45,RandomForest
273_611,0,0.19560666420954348,LOW,0,0.45,RandomForest
274_964,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
275_1336,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
277_511,1,0.930057553619319,VERY_HIGH,1,0.45,RandomForest
278_398,1,0.9927492485366239,VERY_HIGH,1,0.45,RandomForest
278_421,0,0.6625715520152793,HIGH,1,0.45,RandomForest
279_381,1,0.913585364950578,VERY_HIGH,1,0.45,RandomForest
279_1125,0,0.0020217983651226157,LOW,0,0.45,RandomForest
280_522,1,0.921705042016807,VERY_HIGH,1,0.45,RandomForest
