cell_id,susceptibility_probability,susceptibility_category,terrain_instability_score,terrain_instability_category,exposure_score,exposure_category,dominant_exposure,spatial_pressure_score,spatial_category,rainfall_trigger_score,rainfall_trigger_category,soil_wetness_score,soil_wetness_category,temporal_trajectory,temporal_category,environment_anomaly_score,environment_anomaly_category,confidence_score,uncertainty_score,confidence_category,risk_label,primary_reason,recommended_action,explanation,environment_timestamp
3_1656,0.0100098936032178,LOW,27.75423728813559,MODERATE,18.83548738714636,LOW,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,82.36207366889643,17.63792633110357,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
4_988,0.016950869485096,LOW,85.32742681047765,EXTREME,21.683059896595264,LOW,INFRASTRUCTURE,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,75.7941756421973,24.205824357802697,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
5_1571,0.0141702832136074,LOW,40.21186440677966,MODERATE,27.286989113146326,MODERATE,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,82.0216781553191,17.978321844680906,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
10_680,0.028521037330115,LOW,93.1895223420647,EXTREME,24.362685820754297,LOW,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,80.84752554578665,19.152474454213348,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
12_491,0.0007432595523372,LOW,39.19491525423729,MODERATE,23.56777857769064,LOW,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,83.12025281851393,16.879747181486067,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
13_1255,0.0012717983651226,LOW,74.9653312788906,HIGH,15.63261121375341,LOW,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,83.07700873383149,16.92299126616851,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
15_652,0.2646531801531802,MODERATE,75.48921417565485,EXTREME,58.77592199823257,HIGH,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,61.52762295117223,38.47237704882777,MODERATE,MODERATE SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,MODERATE SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
15_1456,0.0052932269365511,LOW,29.655238828967644,MODERATE,18.48215017184094,LOW,INFRASTRUCTURE,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,82.74798275980552,17.252017240194476,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
16_317,0.0220009300177836,LOW,28.37442218798151,MODERATE,31.13014067564469,MODERATE,SETTLEMENT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,81.38098887134105,18.619011128658958,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
17_355,0.1212580213903743,LOW,90.66833590138675,EXTREME,40.96686532463672,MODERATE,TRANSPORT,0.0,LOW,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,73.25995412267454,26.740045877325457,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,2025-09-30 23:00:00
