feature,description,current_value,historical_mean,historical_std,percentile,z_score,absolute_z_score
rain_24h_mm,24h rainfall,5.673038773238659,21.046808754468252,18.68548349249479,0.1448165869218501,-0.8227654364632642,0.8227654364632642
rain_72h_mm,72h rainfall,33.39506559818983,63.13636004371366,45.49977118224539,0.279939748360801,-0.6536581102001074,0.6536581102001074
rain_7d_mm,7-day rainfall,44.09099395945668,147.30831774380832,88.67893740152974,0.05440368598263335,-1.1639440752091275,1.1639440752091275
swvl1,soil water layer 1,0.41352844,0.42313614197093746,0.0076330537833185315,0.08880028353712564,-1.2586970095683565,1.2586970095683565
swvl2,soil water layer 2,0.41744995,0.42386818949410776,0.006863794557332434,0.11339269891901471,-0.9350861889144525,0.9350861889144525
