incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_1,8,83.41208523033444,77.2521116297661,60.21025328080514,CRITICAL,0,3004338.0044235187,608308.500872824,"197_397,198_399,199_399,199_400,200_397,201_401,203_393,204_389",CRITICAL_RISK_ZONE,96.96541715822752,83.25620639526602,98.6398999546321,100.0,94.94565398891362,P1_CRITICAL,1,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_5,7,82.40178849402427,78.14500461932937,59.94649796625384,CRITICAL,0,3000664.7901378046,613138.8580156812,"246_358,247_358,247_361,248_366,249_358,250_362,252_358",CRITICAL_RISK_ZONE,94.0329095880666,85.98461970218547,97.76412039277348,85.71428571428571,92.52419192468899,P1_CRITICAL,2,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_13,8,82.11514774153953,76.25741237870619,59.48417954388987,CRITICAL,0,3018313.0044235187,617908.500872824,"292_534,293_535,294_537,295_538,296_534,297_537,300_539,302_539",CRITICAL_RISK_ZONE,93.20090039080037,80.21670367243455,96.22902705800645,100.0,92.0410026748487,P1_CRITICAL,3,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_130,5,83.15588404593386,80.0636360154297,59.9892761670746,CRITICAL,0,3016930.5044235187,677136.000872824,"886_522,887_524,888_520,889_524,892_524",CRITICAL_RISK_ZONE,96.22176246180352,91.84738208623557,97.90616217128945,57.14285714285714,91.86009578216677,P1_CRITICAL,4,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_69,7,82.25947036866394,76.4491273558509,59.79070484658356,CRITICAL,0,3005136.218709233,647653.1437299668,"588_407,590_414,592_410,595_402,595_406,597_398,598_397",CRITICAL_RISK_ZONE,93.61981414294567,80.80252717076132,97.246821128804,85.71428571428571,91.17255565210739,P1_CRITICAL,5,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_4,3,84.16187627803059,79.83788100933673,60.61986961682231,CRITICAL,0,3016883.837756852,612962.6675394906,"243_522,247_523,250_522",CRITICAL_RISK_ZONE,99.14177569169982,91.15754246387611,100.0,28.57142857142857,90.70245041118301,P1_CRITICAL,6,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_104,5,83.03635874347374,77.51215734433711,60.14180167347693,CRITICAL,0,3029510.5044235187,661216.000872824,"724_645,729_645,730_648,731_651,732_654",CRITICAL_RISK_ZONE,95.87482592158445,84.05082814315314,98.41261157268461,57.14285714285714,90.27127590080049,P1_CRITICAL,7,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_61,4,82.31203059940103,81.57589432392658,59.89408424468154,CRITICAL,0,3004775.5044235187,641221.000872824,"524_401,527_403,531_402,535_399",CRITICAL_RISK_ZONE,93.7723765228746,96.46839013605859,97.5900845967856,42.857142857142854,90.17448289741598,P1_CRITICAL,8,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_50,6,82.19447205595054,76.60935975901536,59.85874357528967,CRITICAL,0,3011200.5044235187,637846.000872824,"494_471,495_461,495_469,496_463,496_465,497_464",CRITICAL_RISK_ZONE,93.43114873680382,81.29214936077025,97.47273857853209,71.42857142857143,89.81348859120594,P1_CRITICAL,9,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_36,3,83.48449972095167,80.1395890996311,59.95041942024976,CRITICAL,0,3004650.5044235187,633296.000872824,"448_400,449_400,453_400",CRITICAL_RISK_ZONE,97.17560891109804,92.07947194253295,97.77714128400457,28.57142857142857,89.44634657664471,P1_CRITICAL,10,Immediate review and prioritized assessment.
