cell_id,unified_risk_score,confidence_score,rainfall_trigger_score,soil_wetness_score,spatial_pressure_score,temporal_category,anomaly_category,alert_priority_score,alert_level,should_alert,alert_reason,alert_action
62_218,57.39934535637536,71.17669331262896,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,33.830280104507665,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
62_993,20.32620877071848,72.87154312191058,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.147368640962075,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
62_1076,13.565581359461744,82.69986320812433,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.105086305896542,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
67_1132,11.019291989564037,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.959256089442572,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
69_27,36.955369011907685,47.86202323468321,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,24.630490749497213,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
70_593,12.878141259974615,82.5479827598055,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.795738261127333,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
80_1256,25.08269221999952,83.02938476688934,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.28778619313854,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
83_532,28.99267787801196,74.99957609962078,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,21.04727973924414,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
84_1435,13.390410514260248,80.8952739365505,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.026259425555867,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
85_1002,26.59310219143465,81.4716250266296,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.96747068028435,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
87_1024,37.700876385077606,67.21582755289462,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,24.96596906742368,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
92_891,17.123831267050285,83.16925127768188,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.706298764311384,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
93_93,55.06894505286149,66.07060331563927,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,32.781599967926425,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
93_428,14.131762955058534,83.0457772940384,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.359868023915098,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
94_580,19.99225811417196,81.22581446275206,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.99709084551614,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
96_631,23.93175950903899,82.6405715906509,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.769866473206303,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
97_1012,20.71884533651815,76.48801534209389,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.324055095571925,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
101_401,27.295894635502528,73.88971388860031,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.283727280114896,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
102_554,23.9510279155931,82.16336149604254,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.77853725615565,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
102_1442,10.809868849277445,83.05071003253279,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.865015676313607,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
104_1297,17.763818969349998,82.15395911222024,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.994293230346255,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
105_74,27.61828249110598,66.50378077730335,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.42880181513645,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
107_1391,10.567948157922528,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.756151365203895,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
110_97,28.96172042126444,60.915628127813775,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,21.033348883707756,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
110_951,14.080103270887795,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.336621166038263,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
111_1425,14.791587660879516,83.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.656789141534539,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
112_1345,25.2044394964037,76.79938476688935,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.342572467520423,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
114_1106,22.28837080941868,82.26525281851394,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.030341558377163,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
118_1383,23.19093137925956,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.43649381480556,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
122_433,32.10829124174433,53.73554342003146,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,22.449305752923706,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
125_958,19.06263127690461,76.99928146110422,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.578758768745832,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
126_1544,11.370707272000116,81.61544938409034,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.117392966538809,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
130_1126,26.233356530186093,82.01444379876656,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.8055851327225,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
132_516,28.573422210044647,77.01308311399679,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.858614688658847,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
134_1295,24.54410606527784,83.1338891821503,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.045422423513784,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
138_675,28.629075507896147,78.02921652603928,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.88365867269202,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
140_27,20.187816633752504,80.73124093166834,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.085092179327383,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
141_1564,10.165832829864712,83.17479827305938,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.575199467577878,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
142_942,14.796515833163337,76.83750069949295,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.65900681906226,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
149_687,21.98992625156216,73.57295778478054,24.072700691121742,13.215996809055468,11.06623528726798,LOW,NORMAL,19.555976800431925,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
150_686,33.78680862371266,70.246504238327,24.072700691121742,13.215996809055468,8.220269475302171,LOW,NORMAL,24.43767899610478,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
150_1110,18.636589523931647,82.22516536359598,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.387039979908,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
154_105,27.11696831469702,70.96407241080351,24.072700691121742,13.215996809055468,23.363890817994296,LOW,NORMAL,23.707794058451558,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
156_103,34.5941683353795,55.87262115046508,24.072700691121742,13.215996809055468,10.452315850815854,LOW,NORMAL,25.13579782268191,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
156_878,13.55600903902546,81.8829850862462,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.100778761700212,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
158_1490,10.521276094366533,82.94668996169453,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.735148936603697,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
159_757,14.406377347914503,82.94386433585657,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.483444500700283,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
160_1535,9.802284223295295,83.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.411602594621638,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
162_836,13.537929777259158,82.89700873383148,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.092643093905377,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
163_823,10.386359528959549,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.674436482170552,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
165_1205,17.262250884476963,76.94415749416208,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.768587592153388,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
167_997,10.044306376185803,77.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.520512563422368,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
169_250,21.37035674636539,75.72246524791294,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.617235230003182,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
171_726,14.421717833197748,82.95116190942304,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.490347719077743,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
173_1302,10.931039854455417,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.919542628643693,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
175_1422,12.359526202897712,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.562361485442725,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
176_65,28.64130090650612,70.41134241352806,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.889160102066512,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
177_441,18.70163823757762,82.60126506713488,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.416311901048687,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
179_140,21.15547145295812,72.96040031215118,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.52053684796991,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
179_393,19.20199071785877,80.62403956536392,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.641470517175204,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
181_409,26.554953151553207,77.67913683300505,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.9503036123377,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
182_1213,16.17646443168053,75.7888918507146,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.279983688394996,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
183_57,18.458977440250408,78.92192057100618,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.30711454225144,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
183_521,56.54807459573642,63.92965846111686,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,33.447208262220144,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
185_39,55.08235970546647,69.91988499394232,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,32.78763656159867,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
186_549,59.68555221351141,77.6035190187746,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,34.859073190218886,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
186_772,20.350341383321272,83.13837237019513,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.15822831663333,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
188_63,53.63357968938642,68.17573844885,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,32.135685554362645,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
189_1397,16.417317672098466,83.0810996429224,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.388367646583067,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
190_534,49.43708538321306,68.43787361368948,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,30.247263116584634,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
190_544,64.63582408923716,83.89156642937076,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,37.08669553429548,ROUTINE,0,elevated landslide risk,Routine monitoring.
191_528,68.14555913945858,78.59501878900097,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,38.666076306895114,ROUTINE,0,elevated landslide risk,Routine monitoring.
191_1609,14.269258670034466,81.77764881463685,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.421741095654266,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
193_412,70.49998032205703,84.1470665378886,24.072700691121742,13.215996809055468,96.4993814429586,LOW,NORMAL,54.200473055508205,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
194_1163,11.403714668346051,83.12473600655878,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.132246294894479,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
196_414,77.12334933436195,87.95162612551633,24.072700691121742,13.215996809055468,94.3247485032698,LOW,NORMAL,56.8547941700921,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
197_397,76.16330983354555,85.66785306069183,24.072700691121742,13.215996809055468,98.3492711617339,LOW,NORMAL,57.02645479349434,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
197_413,69.4502350706924,85.57031341673508,24.072700691121742,13.215996809055468,95.58596227125396,LOW,NORMAL,53.59107481663843,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
198_373,26.92043123614768,74.72523623408101,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.114768750405215,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
198_399,82.33650544123824,91.03288314552334,24.072700691121742,13.215996809055468,97.81127377566148,LOW,NORMAL,59.72369320904519,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
199_37,17.436439839476762,78.4244933045967,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.846972621903298,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
199_399,71.51795734685098,86.02742766612201,24.072700691121742,13.215996809055468,98.3141127558696,LOW,NORMAL,54.930772413602135,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
199_400,83.41208523033444,90.99629223643242,24.072700691121742,13.215996809055468,97.82826822010593,LOW,NORMAL,60.21025328080514,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
199_415,67.31839826229552,82.57914445996644,24.072700691121742,13.215996809055468,96.4993814429586,LOW,NORMAL,52.76876112861552,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
199_995,23.507304623284966,77.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.578861774616993,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
200_397,71.91432909601062,84.95426042529053,24.072700691121742,13.215996809055468,98.4769239769701,LOW,NORMAL,55.133561383889045,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
200_550,67.14466803577852,82.93646070461018,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,38.21567531023909,ROUTINE,0,elevated landslide risk,Routine monitoring.
201_401,77.39451959151043,88.15859822652672,24.072700691121742,13.215996809055468,98.1057316344078,LOW,NORMAL,57.54396825547962,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
202_1166,10.173983981219791,83.12473600655878,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.578867485687663,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
202_1269,11.65325504679296,83.03279385779844,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.24453946519559,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
203_393,77.55343354094914,89.08694789156756,24.072700691121742,13.215996809055468,97.1920062720446,LOW,NORMAL,57.478420728372555,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
204_389,77.72475295768939,89.3314334060531,24.072700691121742,13.215996809055468,98.0528109493934,LOW,NORMAL,57.68463516750799,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
204_786,14.756685880317113,82.54972420018332,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.641083340281458,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
206_941,22.620587545471857,77.0810996429224,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.179839089601092,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
206_1313,12.602660162804604,83.12473600655878,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.671771767400827,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
207_398,63.26627561788249,85.63828507618823,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,36.47039872218588,ROUTINE,0,elevated landslide risk,Routine monitoring.
207_551,71.48090447828386,87.24898414258362,24.072700691121742,13.215996809055468,97.70165136141593,LOW,NORMAL,54.82222941357888,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
208_541,81.56613132741388,89.10386330201285,24.072700691121742,13.215996809055468,98.59639413388544,LOW,NORMAL,59.49479291155782,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
208_542,82.3149910391984,89.33821395136346,24.072700691121742,13.215996809055468,98.53910841959971,LOW,NORMAL,59.82318692471799,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
208_550,73.84662038700213,88.67650161990557,24.072700691121742,13.215996809055468,96.48033085304048,LOW,NORMAL,55.70360349624579,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
209_1184,10.73684334890248,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.832154201144874,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
209_1258,22.863545865878628,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.28917033378414,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
209_1337,9.169825993701812,83.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.126996391304573,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
212_536,66.96946798592884,81.5264665744657,24.072700691121742,13.215996809055468,96.1307303143716,LOW,NORMAL,52.55644483496248,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
212_538,78.79786714477373,89.87594122409071,24.072700691121742,13.215996809055468,96.05153913203152,LOW,NORMAL,57.867345779091664,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
213_922,21.91145839418806,77.0810996429224,24.072700691121742,13.215996809055468,0.0043541683868659,LOW,NORMAL,17.861384096781414,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
214_536,65.96855882115426,79.25140741698874,24.072700691121742,13.215996809055468,96.68685588619933,LOW,NORMAL,52.18945454658807,ROUTINE,0,elevated landslide risk; elevated neighbouring-cell risk,Routine monitoring.
214_923,23.14741427451509,77.17597567598025,24.072700691121742,13.215996809055468,0.085525885558582,LOW,NORMAL,18.429740000504335,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
216_668,20.62784682623901,81.90837237019514,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.283105765946313,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
218_793,13.417253478289672,83.11395911222021,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.038338759369108,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
221_1601,10.13407902417297,83.17479827305938,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.56091025501659,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
222_1036,14.11502634789516,76.88961203961662,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.352336550691579,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
223_498,61.19456894918051,86.95540134856606,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,35.53813072126998,ROUTINE,0,elevated landslide risk,Routine monitoring.
223_591,22.80341806791187,82.23622684448796,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.2621128246991,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
224_1401,9.897469876344482,83.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.454436138493772,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
225_41,23.50268501737562,70.458168582012,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.576782951957785,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
225_934,19.284927509720426,77.09746327928603,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.67879207351295,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
226_699,21.325075815042915,83.17479827305938,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.596858810908067,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
227_1644,10.913817444608153,82.27998984363077,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.911792544212425,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
