incident_id,priority_rank,priority_score,priority_level,max_risk_score,historical_hotspot_distance_m,hotspot_id,event_count,hotspot_score,hotspot_category,historical_current_score,historical_current_category,persistent_risk_zone
RISK_ZONE_CLUSTER_21,143,58.41975142826245,P3_MODERATE,70.52761105937387,43.00384850000186,621_3004,2,25.0,MODERATE,55.76411532554113,STRONG,0
RISK_ZONE_ISOLATED_174,144,57.765493791165575,P3_MODERATE,70.32646434384975,162.39085476800614,652_3069,3,37.5,MODERATE,60.860132106411314,STRONG,0
RISK_ZONE_CLUSTER_127,145,56.41080755014572,P3_MODERATE,69.61774196180099,5.260074436258208,670_3028,2,25.0,MODERATE,55.5951915003302,STRONG,0
RISK_ZONE_ISOLATED_77,146,55.81530994807062,P3_MODERATE,69.08829002596465,329.5074925663248,629_3003,3,37.5,MODERATE,59.81936138591142,STRONG,0
RISK_ZONE_CLUSTER_129,147,55.4285014278414,P3_MODERATE,69.23448264407148,205.72050597901423,674_3029,1,12.5,LOW,49.06670568658907,MODERATE,0
RISK_ZONE_ISOLATED_228,148,54.04819496329562,P3_MODERATE,73.59881740813044,37.09457849245012,671_3063,1,12.5,LOW,51.237300478432786,STRONG,0
RISK_ZONE_ISOLATED_170,149,53.642599739587766,P3_MODERATE,73.42176860609462,37.75315705409946,651_3007,2,25.0,MODERATE,56.79773807959384,STRONG,0
RISK_ZONE_CLUSTER_112,150,53.53995591205695,P3_MODERATE,68.42422029933039,15.75958900975463,663_3024,1,12.5,LOW,49.51063681615098,MODERATE,0
RISK_ZONE_ISOLATED_130,151,52.80107157170093,P3_MODERATE,73.05442810183098,48.87939978025139,640_3018,1,12.5,LOW,51.000425088801464,STRONG,0
RISK_ZONE_ISOLATED_181,152,52.71293056502296,P3_MODERATE,73.01595314273283,39.44515811263473,654_3047,1,12.5,LOW,51.02403796100203,STRONG,0
RISK_ZONE_ISOLATED_96,153,52.68723203019006,P3_MODERATE,73.00473532126874,16.97610252456039,633_3003,1,12.5,LOW,51.10898272267043,STRONG,0
RISK_ZONE_ISOLATED_53,154,52.542432387642535,P3_MODERATE,72.94152796144361,22.967673306182434,623_3025,1,12.5,LOW,51.063084174835026,STRONG,0
RISK_ZONE_ISOLATED_94,155,52.35885461426293,P3_MODERATE,67.55626557850934,304.92650588387176,633_3013,2,25.0,MODERATE,53.745095477204416,STRONG,0
RISK_ZONE_ISOLATED_232,156,51.93764554338868,P3_MODERATE,72.6775288312682,41.86244425474517,676_3015,1,12.5,LOW,50.896075644786436,STRONG,0
RISK_ZONE_ISOLATED_43,157,51.52920770422036,P3_MODERATE,72.49923918212052,20.89919423180444,620_3020,1,12.5,LOW,50.91648490342624,STRONG,0
RISK_ZONE_CLUSTER_128,158,51.19080679477543,P3_MODERATE,70.4610770396521,354.1549439931007,670_3029,3,37.5,MODERATE,60.21346065795238,STRONG,0
RISK_ZONE_ISOLATED_104,159,51.11667478434667,P3_MODERATE,68.14378347512901,247.29155997767705,635_3006,2,25.0,MODERATE,54.15777487574077,STRONG,0
RISK_ZONE_ISOLATED_203,160,50.89182850855194,P3_MODERATE,72.22101296928687,24.349759760514534,659_3057,1,12.5,LOW,50.805427530085844,STRONG,0
RISK_ZONE_ISOLATED_29,161,50.56050728008035,P3_MODERATE,72.07638595407285,22.729017917866624,618_3025,1,12.5,LOW,50.76123042864036,STRONG,0
RISK_ZONE_ISOLATED_75,162,50.41233109632247,P3_MODERATE,72.01170468000669,285.9156256243347,629_3017,2,25.0,MODERATE,55.37229493750485,STRONG,0
RISK_ZONE_CLUSTER_105,163,50.32859587598078,P3_MODERATE,66.9153241983456,558.1648061157777,660_3033,8,100.0,VERY_HIGH,86.41191346627743,VERY_STRONG,1
RISK_ZONE_ISOLATED_128,164,50.063390540565486,P3_MODERATE,71.85938654663786,33.48545074447693,639_3004,1,12.5,LOW,50.64273454121321,STRONG,0
RISK_ZONE_ISOLATED_140,165,49.84275051891443,P3_MODERATE,71.76307364838092,53.399598764658634,642_3005,1,12.5,LOW,50.5307344898611,STRONG,0
RISK_ZONE_CLUSTER_125,166,49.71820790283904,P3_MODERATE,68.57159533477147,17.135054459638646,668_3058,2,25.0,MODERATE,55.18175223518974,STRONG,0
RISK_ZONE_ISOLATED_42,167,49.68295517921133,P3_MODERATE,71.6933204269137,34.447758209973,620_3005,1,12.5,LOW,50.58081393939001,STRONG,0
RISK_ZONE_ISOLATED_166,168,49.62280739639953,P3_MODERATE,71.66706495774277,48.85121219148506,649_3033,1,12.5,LOW,50.514958566784784,STRONG,0
RISK_ZONE_ISOLATED_81,169,49.46523030569133,P3_MODERATE,71.59828003743938,43.4867385733487,629_3007,1,12.5,LOW,50.51195089139032,STRONG,0
RISK_ZONE_ISOLATED_176,170,48.81223261245419,P3_MODERATE,71.31323610062255,22.195424842341822,652_3032,3,37.5,MODERATE,61.74624330360187,STRONG,0
RISK_ZONE_ISOLATED_68,171,48.80782324230384,P3_MODERATE,71.31131134003066,60.51863957904931,628_3016,1,12.5,LOW,50.34477937541838,STRONG,0
RISK_ZONE_ISOLATED_201,172,48.75843524371578,P3_MODERATE,71.28975268875999,41.43762782086181,659_3031,1,12.5,LOW,50.41202530069829,STRONG,0
