cell_id,label,elevation_m,slope_deg,aspect_deg,elevation_std_m,aspect_sin,aspect_cos,terrain_imputed,precip_mm,rain_24h_mm,rain_72h_mm,rain_7d_mm,swvl1,swvl2,environment_time,environment_latitude,environment_longitude
600_410,1,1251.0,32.52389907836914,50.38931274414063,15.15435028076172,0.7703943320761636,0.6375677008011947,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
600_634,0,1374.0,11.6826171875,325.00799560546875,5.499719142913818,-0.573462118392671,0.8192320786984542,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
601_1438,0,5211.0,4.936678409576416,348.6900634765625,2.233305692672729,-0.1961162044413742,0.9805806618302796,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
601_1652,0,4867.0,22.619441986083984,153.4349365234375,10.159225463867188,0.4472137875035032,-0.8944270949981175,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
603_1213,0,4348.0,25.375341415405277,0.0,11.477298736572266,0.0,1.0,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
604_398,1,969.0,34.12918472290039,91.43209838867188,16.179548263549805,0.9996876454465248,-0.0249922296240944,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
604_436,1,411.0,29.21662712097168,144.86578369140625,13.888444900512695,0.5754937380554097,-0.8178061857549205,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
604_485,1,385.0,19.906658172607425,190.7843170166016,9.064924240112305,-0.1871124362010687,-0.9823385038869752,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
604_932,0,3842.0,31.7258415222168,279.4623413085937,14.858177185058594,-0.9863938690267596,0.164399316137323,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
607_142,0,530.0,30.539478302001957,230.82635498046875,13.48890781402588,-0.7752351282981426,-0.6316727759311482,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
607_576,1,1491.0,31.38566780090332,91.59112548828124,13.67885684967041,0.9996144278168804,-0.0277668093293249,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
608_488,1,440.0,33.82723617553711,163.85565185546875,15.993825912475586,0.2780582335327527,-0.9605642189695832,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
609_405,1,1055.0,26.323421478271484,141.95294189453125,12.76956272125244,0.6163084757108782,-0.7875048334879817,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
609_488,1,401.0,33.091392517089844,152.10272216796875,15.933504104614258,0.4678878253258056,-0.8837878608081741,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
610_488,1,395.0,24.51827812194824,158.1986083984375,11.314799308776855,0.371390386531517,-0.9284768068142416,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
610_595,1,1536.0,19.250118255615234,284.0362548828125,8.94565200805664,-0.970142451825584,0.2425358183152424,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
610_1049,0,4086.0,33.33745574951172,55.491485595703125,16.12987518310547,0.8240420090699615,0.5665286994389088,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
611_429,1,445.0,45.942474365234375,269.0608215332031,25.79884147644043,-0.99986565816733,-0.0163910224699936,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
611_489,1,432.0,32.33029556274414,164.47589111328125,15.919550895690918,0.2676438283025561,-0.9635179194864784,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
611_737,0,794.0,39.88628005981445,197.700439453125,17.480146408081055,-0.3040403677385953,-0.9526591493211932,1,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
612_489,1,418.0,29.90739250183105,166.37298583984375,13.825187683105469,0.2356003529922753,-0.9718500263260352,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
613_406,1,1013.0,25.204666137695312,149.74356079101562,11.20956325531006,0.503871056360929,-0.8637788829102744,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
613_427,1,416.0,37.90671920776367,135.88140869140625,18.26215171813965,0.6961457772488903,-0.7179004504933386,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
613_715,1,790.0,33.66559600830078,262.6942443847656,16.58647346496582,-0.991881673381768,-0.1271642481571897,0,0.032693148,5.673038773238659,33.39506559818983,44.09099395945668,0.41352844,0.41744995,2025-09-30 23:00:00,27.50000000000096,88.49999999999926
