cell_id,label,elevation_m,slope_deg,aspect_deg,elevation_std_m,aspect_sin,aspect_cos,terrain_imputed,road_distance_m,settlement_distance_m,amenity_distance_m,road_density_500m_km_per_km2,settlements_within_1km,amenities_within_1km,near_road_250m,near_settlement_1km,near_amenity_1km,osm_context_available
3_1656,0,4376.0,10.724231719970703,259.6951599121094,4.597369194030762,-0.9838699300218868,-0.1788853286290612,0,6561.038157493748,3193.336492780951,16457.13353748076,0.0,0,0,0,0,0,1
4_988,0,4950.0,35.91403579711914,280.7843017578125,32.235103607177734,-0.9823385537179964,0.1871121745884942,1,2747.844567728181,5047.649062155741,4607.251160752518,0.0,0,0,0,0,0,1
5_1571,0,4778.0,20.91554832458496,102.80426025390624,9.202791213989258,0.9751328782699789,-0.221621004683461,0,1584.152367982687,1676.328711916117,8775.42290678651,0.0,0,0,0,0,0,1
10_680,0,2343.0,52.60748291015625,221.3255157470703,33.377010345458984,-0.6603361658128766,-0.7509701379679149,0,2007.8086485052827,2159.7770526469694,14473.916299489332,0.0,0,0,0,0,0,1
12_491,0,2666.0,21.879323959350582,207.6459808349609,9.635326385498049,-0.4640070792593549,-0.8858314909717325,0,1712.4710184630012,3143.371308704439,16072.477487511573,0.0,0,0,0,0,0,1
13_1255,0,5413.0,33.99567413330078,295.2777099609375,15.637877464294434,-0.9042487382245789,0.4270061116884124,0,7679.468653657371,8528.62051340951,23296.336239632405,0.0,0,0,0,0,0,1
15_652,0,1600.0,36.59194946289063,152.850341796875,18.1597843170166,0.456316282718452,-0.8898176499294751,0,139.21538304215306,652.4604277096703,14676.042839201504,10.581484284513596,4,0,1,1,0,1
15_1456,0,5109.0,10.597708702087402,84.80557250976562,4.570436477661133,0.9958932087075624,0.090535721404071,0,5178.392266473293,6528.515366728926,6137.566480464188,0.0,0,0,0,0,0,1
16_317,0,2950.0,12.974687576293944,287.10272216796875,6.026689529418945,-0.9557790436303166,0.2940857353853079,0,847.5180279323571,2625.8205687656664,3411.5870584672016,0.0,0,0,0,0,0,1
17_355,0,2721.0,45.81885147094727,20.224853515625,23.90619468688965,0.345705261947459,0.9383431525096982,0,228.77418460094515,5640.256444141599,3697.895286280938,3.973038071474188,0,0,1,0,0,1
