cell_id,label,elevation_m,slope_deg,aspect_deg,elevation_std_m,aspect_sin,aspect_cos,terrain_imputed
3_1656,0,4376.0,10.724231719970703,259.6951599121094,4.597369194030762,-0.9838699300218869,-0.17888532862906123,0
4_988,0,4950.0,35.91403579711914,280.7843017578125,32.235103607177734,-0.9823385537179964,0.18711217458849422,1
5_1571,0,4778.0,20.91554832458496,102.80426025390625,9.202791213989258,0.9751328782699789,-0.22162100468346102,0
10_680,0,2343.0,52.60748291015625,221.3255157470703,33.377010345458984,-0.6603361658128766,-0.7509701379679149,0
12_491,0,2666.0,21.879323959350586,207.64598083496094,9.635326385498047,-0.46400707925935497,-0.8858314909717325,0
13_1255,0,5413.0,33.99567413330078,295.2777099609375,15.637877464294434,-0.9042487382245789,0.42700611168841246,0
15_652,0,1600.0,36.591949462890625,152.850341796875,18.1597843170166,0.456316282718452,-0.8898176499294751,0
15_1456,0,5109.0,10.597708702087402,84.80557250976562,4.570436477661133,0.9958932087075624,0.09053572140407108,0
16_317,0,2950.0,12.974687576293945,287.10272216796875,6.026689529418945,-0.9557790436303166,0.2940857353853079,0
17_355,0,2721.0,45.818851470947266,20.224853515625,23.90619468688965,0.34570526194745904,0.9383431525096982,0
20_1290,0,5332.0,33.64849090576172,165.25640869140625,16.88815689086914,0.25449377985017846,-0.9670744107965885,0
20_1453,0,4975.0,3.876335859298706,0.0,1.9436506032943726,0.0,1.0,0
23_244,0,2099.0,13.536701202392578,129.28939819335938,5.981452941894531,0.7739573950153897,-0.633237673153605,0
27_1200,0,5434.0,25.375341415405273,270.0,35.3162841796875,-1.0,-1.8369701987210297e-16,1
29_729,0,1869.0,33.82723617553711,343.85565185546875,17.126977920532227,-0.2780582335327524,0.9605642189695832,0
31_874,0,3754.0,18.737674713134766,267.1376037597656,8.46926212310791,-0.998752346709706,-0.049937460306419684,0
31_1025,0,5151.0,9.614384651184082,180.0,4.175176620483398,1.2246467991473532e-16,-1.0,0
32_1418,0,5801.0,26.810009002685547,320.4403381347656,12.600215911865234,-0.6368813648651844,0.7709618194745184,0
33_13,0,403.0,29.603940963745117,296.5650634765625,12.95099925994873,-0.8944270949981173,0.4472137875035034,0
33_708,0,2977.0,34.020790100097656,17.52557373046875,16.865480422973633,0.3011314570902598,0.9535826369805068,0
39_194,0,1574.0,9.614384651184082,90.0,4.499657154083252,1.0,6.123233995736766e-17,0
40_15,0,392.0,23.406394958496094,120.5792236328125,10.13001823425293,0.8609265569794068,-0.5087292634472528,0
41_966,0,3881.0,38.31543731689453,120.9637451171875,19.813716888427734,0.8574930282141505,-0.5144955845914774,1
44_642,0,1585.0,24.988758087158203,340.906494140625,10.629565238952637,-0.3271107924594602,0.944985994317664,0
44_777,0,3463.0,44.49834060668945,324.11785888671875,20.488479614257812,-0.5861198412133811,0.8102243712305875,0
44_843,0,4407.0,29.025177001953125,211.2637481689453,12.062337875366211,-0.5189783800234574,-0.854787365997081,0
44_1523,0,4416.0,0.9704723954200745,270.0,0.6849349141120911,-1.0,-1.8369701987210297e-16,0
47_1039,0,5124.0,7.952031135559082,194.0362548828125,3.0594115257263184,-0.24253581831524254,-0.970142451825584,1
51_586,0,3022.0,48.66741180419922,123.45330810546875,39.660911560058594,0.8343353336365625,-0.5512572457986977,1
51_1520,0,4428.0,1.9403883218765259,0.0,0.916245698928833,0.0,1.0,0
52_235,0,1826.0,21.450366973876953,97.431396484375,9.03627872467041,0.9916004371164366,-0.1293389852692984,0
53_566,0,2572.0,13.27562141418457,201.0375213623047,5.933790683746338,-0.35897924769620865,-0.9333455414386808,0
53_801,0,3772.0,34.652565002441406,306.0273742675781,16.815629959106445,-0.8087360752441175,0.5881717101312687,0
59_1544,0,4397.0,2.169212579727173,63.4349365234375,0.916245698928833,0.8944270949981175,0.4472137875035032,0
61_1203,0,6076.0,21.00910186767578,318.57635498046875,9.46468448638916,-0.6616213674201266,0.7498380933062296,0
62_218,0,1455.0,32.99371337890625,187.49586486816406,15.725264549255371,-0.13045463765323717,-0.9914542790843976,0
62_993,0,3699.0,7.3510026931762695,293.1986083984375,3.9440531730651855,-0.9191449070567108,0.39391958548885386,0
62_1076,0,5002.0,17.274070739746094,240.6422576904297,6.646265029907227,-0.8715756332435292,-0.4902610687543333,0
67_1132,0,5475.0,10.029293060302734,286.6992492675781,4.4081854820251465,-0.9578262599768824,0.2873479697138953,0
69_27,0,1113.0,18.650480270385742,107.52557373046875,7.733205318450928,0.9535826369805068,-0.30113145709025974,0
70_593,0,2955.0,16.300086975097656,79.99200439453125,7.350149154663086,0.9847835108822887,0.1737856055441683,0
80_1256,0,6223.0,53.72871780395508,34.875335693359375,33.212371826171875,0.5717927669124441,0.8203980934318481,0
83_532,0,2095.0,32.385841369628906,325.8855285644531,15.84648609161377,-0.5608481233531262,0.8279187052671757,0
84_1435,0,4667.0,0.9704723954200745,90.0,0.8164966106414795,1.0,6.123233995736766e-17,0
85_1002,0,5031.0,46.574222564697266,41.0994873046875,27.184555053710938,0.6573685027158078,0.7535692746106206,0
87_1024,0,4334.0,49.31068420410156,257.38067626953125,28.394052505493164,-0.9758431348537183,-0.21847236932588898,0
92_891,0,5138.0,27.717409133911133,110.77224731445312,11.79244327545166,0.9349975719223206,-0.3546541138903719,0
93_93,0,1232.0,32.22797393798828,6.170166015625,14.392212867736816,0.10748168543256906,0.9942070645980012,0
93_428,0,2680.0,18.024797439575195,141.34017944335938,9.741092681884766,0.6246952152225709,-0.7808686753084835,0
94_580,0,2001.0,29.383731842041016,158.8387451171875,14.476886749267578,0.3609940222497763,-0.9325681293610285,0
