threshold,precision,recall,f1
0.1,0.8953488372093024,0.9746835443037974,0.9333333333333333
0.11,0.8953488372093024,0.9746835443037974,0.9333333333333333
0.12,0.9058823529411765,0.9746835443037974,0.9390243902439024
0.13,0.9058823529411765,0.9746835443037974,0.9390243902439024
0.13999999999999999,0.9058823529411765,0.9746835443037974,0.9390243902439024
0.14999999999999997,0.9058823529411765,0.9746835443037974,0.9390243902439024
0.15999999999999998,0.9047619047619048,0.9620253164556962,0.9325153374233128
0.16999999999999998,0.9047619047619048,0.9620253164556962,0.9325153374233128
0.17999999999999997,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.18999999999999995,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.19999999999999996,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.20999999999999996,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.21999999999999995,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.22999999999999995,0.9156626506024096,0.9620253164556962,0.9382716049382716
0.23999999999999994,0.926829268292683,0.9620253164556962,0.9440993788819876
0.24999999999999992,0.926829268292683,0.9620253164556962,0.9440993788819876
0.2599999999999999,0.926829268292683,0.9620253164556962,0.9440993788819876
0.2699999999999999,0.926829268292683,0.9620253164556962,0.9440993788819876
0.2799999999999999,0.926829268292683,0.9620253164556962,0.9440993788819876
0.2899999999999999,0.926829268292683,0.9620253164556962,0.9440993788819876
0.29999999999999993,0.926829268292683,0.9620253164556962,0.9440993788819876
0.30999999999999994,0.926829268292683,0.9620253164556962,0.9440993788819876
0.3199999999999999,0.9382716049382716,0.9620253164556962,0.95
0.32999999999999985,0.9382716049382716,0.9620253164556962,0.95
0.33999999999999986,0.9382716049382716,0.9620253164556962,0.95
0.34999999999999987,0.9382716049382716,0.9620253164556962,0.95
0.3599999999999999,0.9382716049382716,0.9620253164556962,0.95
0.3699999999999999,0.9382716049382716,0.9620253164556962,0.95
0.3799999999999999,0.9382716049382716,0.9620253164556962,0.95
0.3899999999999999,0.9382716049382716,0.9620253164556962,0.95
0.3999999999999998,0.9382716049382716,0.9620253164556962,0.95
0.4099999999999998,0.9382716049382716,0.9620253164556962,0.95
0.4199999999999998,0.95,0.9620253164556962,0.9559748427672956
0.4299999999999998,0.95,0.9620253164556962,0.9559748427672956
0.43999999999999984,0.95,0.9620253164556962,0.9559748427672956
0.44999999999999984,0.9620253164556962,0.9620253164556962,0.9620253164556962
0.45999999999999985,0.9620253164556962,0.9620253164556962,0.9620253164556962
0.46999999999999986,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.47999999999999976,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.48999999999999977,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.4999999999999998,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.5099999999999998,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.5199999999999998,0.9615384615384616,0.9493670886075949,0.9554140127388535
0.5299999999999998,0.961038961038961,0.9367088607594937,0.9487179487179487
0.5399999999999998,0.961038961038961,0.9367088607594937,0.9487179487179487
0.5499999999999998,0.961038961038961,0.9367088607594937,0.9487179487179487
0.5599999999999997,0.961038961038961,0.9367088607594937,0.9487179487179487
0.5699999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.5799999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.5899999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.5999999999999998,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6099999999999998,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6199999999999998,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6299999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6399999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6499999999999997,0.9605263157894737,0.9240506329113924,0.9419354838709677
0.6599999999999997,0.96,0.9113924050632911,0.935064935064935
0.6699999999999997,0.9594594594594594,0.8987341772151899,0.9281045751633987
0.6799999999999997,0.958904109589041,0.8860759493670886,0.9210526315789473
0.6899999999999997,0.958904109589041,0.8860759493670886,0.9210526315789473
0.6999999999999996,0.958904109589041,0.8860759493670886,0.9210526315789473
0.7099999999999996,0.9583333333333334,0.8734177215189873,0.9139072847682119
0.7199999999999996,0.9583333333333334,0.8734177215189873,0.9139072847682119
0.7299999999999996,0.9583333333333334,0.8734177215189873,0.9139072847682119
0.7399999999999997,0.9710144927536232,0.8481012658227848,0.9054054054054054
0.7499999999999997,0.9705882352941176,0.8354430379746836,0.8979591836734694
0.7599999999999997,0.9692307692307692,0.7974683544303798,0.875
0.7699999999999997,0.9682539682539683,0.7721518987341772,0.8591549295774648
0.7799999999999997,0.9836065573770492,0.759493670886076,0.8571428571428571
0.7899999999999996,0.9830508474576272,0.7341772151898734,0.8405797101449275
0.7999999999999996,0.9830508474576272,0.7341772151898734,0.8405797101449275
0.8099999999999996,0.9824561403508771,0.7088607594936709,0.8235294117647058
0.8199999999999996,0.9824561403508771,0.7088607594936709,0.8235294117647058
0.8299999999999996,0.9814814814814815,0.6708860759493671,0.7969924812030075
0.8399999999999996,1.0,0.6455696202531646,0.7846153846153846
0.8499999999999996,1.0,0.5822784810126582,0.736
0.8599999999999995,1.0,0.5569620253164557,0.7154471544715447
0.8699999999999996,1.0,0.4810126582278481,0.6495726495726496
0.8799999999999996,1.0,0.4177215189873418,0.5892857142857143
0.8899999999999996,1.0,0.3670886075949367,0.5370370370370371
0.8999999999999996,1.0,0.35443037974683544,0.5233644859813084
