model,features,validation_roc_auc,validation_pr_auc,validation_f1,test_roc_auc,test_pr_auc,test_f1
FULL MODEL,14,0.9858427714856762,0.98583939518161,0.9620253164556962,0.9685852835757959,0.9618038277670674,0.9222797927461139
NO ROAD FEATURES,11,0.8890739506995337,0.8149454344589295,0.7246376811594203,0.9237824161922834,0.8763397184146811,0.88
TERRAIN ONLY,5,0.8187874750166555,0.7620696440467467,0.5333333333333333,0.8901539110267762,0.7993926490208576,0.8275862068965517
