model,validation_roc_auc,validation_pr_auc,validation_f1,validation_precision,validation_recall,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall
Random Forest,0.9863424383744172,0.9861401017840322,0.9620253164556962,0.9620253164556962,0.9620253164556962,0.9690069576217584,0.9634125534714576,0.9175257731958762,0.8811881188118812,0.956989247311828
HistGradientBoosting,0.9848434377081946,0.9843855510740295,0.9493670886075949,0.9493670886075949,0.9493670886075949,0.9662660763230023,0.962656542494863,0.9263157894736842,0.9072164948453608,0.946236559139785
Logistic Regression,0.9686875416389074,0.9385907394850436,0.9308176100628931,0.925,0.9367088607594937,0.9420198186801603,0.9253525955136548,0.8979591836734694,0.8543689320388349,0.946236559139785
