feature,p50,p75,p90,p95,p99
rain_24h_mm,16.03758054226637,27.961607985198498,42.94047024399042,55.141135042905766,93.87751803934572
rain_72h_mm,52.26399501413107,83.21004381217062,123.09466498345137,151.3783467143774,225.83097878783923
rain_7d_mm,127.52328247204423,188.77262319251895,266.3970186673105,330.2681165888905,438.63695913374426
swvl1,0.42544556,0.42825317,0.42971802,0.4303131,0.43099976
swvl2,0.42581177,0.4282837,0.42948914,0.4299469,0.4306183
